"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Funtumia elastica","50","24.496","1.571294","0.222215","0.164657","Funtumia elastica","50","1714.02","575.787216","81.428609","5709.798327","Funtumia elastica","50","1450.84","142.631301","20.171112","1187.881898","Funtumia elastica","50","12001.78","4364.995857","617.303634","293133.846327"
"2","Picralima nitida","56","24.007143","1.326767","0.177297","0.147015","Picralima nitida","56","1906.857143","581.383817","77.69068","5098.03422","Picralima nitida","56","1241.517857","149.410964","19.96588","1060.608837","Picralima nitida","56","15051.857143","3947.415566","527.495593","261726.648506"
"3","Rauvolfia vomitoria","124","24.442742","2.04769","0.183888","0.066394","Rauvolfia vomitoria","124","1835.524194","611.970288","54.956554","2302.338035","Rauvolfia vomitoria","124","1484.354839","271.466813","24.378439","478.984636","Rauvolfia vomitoria","124","12878.185484","4891.837878","439.30001","118199.131583"
"4","Tacazzea apiculata","118","23.820339","3.39317","0.312367","0.06977","Tacazzea apiculata","118","1129.228814","528.771474","48.67736","2419.406071","Tacazzea apiculata","118","1864.457627","397.69332","36.610638","503.339787","Tacazzea apiculata","118","6598.805085","3813.84166","351.092583","124209.256918"
"5","Kanahia laniflora","59","23.589831","2.769893","0.360609","0.13954","Kanahia laniflora","59","1133.474576","774.074182","100.775875","4838.812141","Kanahia laniflora","59","1832.20339","347.116038","45.190659","1006.679575","Kanahia laniflora","59","6705.559322","5217.594968","679.273007","248418.513836"
"6","Gomphocarpus tomentosus","6","18.9","0.841427","0.343511","1.372141","Gomphocarpus tomentosus","6","444.833333","75.782364","30.938021","47581.652722","Gomphocarpus tomentosus","6","2326.666667","185.203312","75.608936","9899.015816","Gomphocarpus tomentosus","6","2045","609.922618","248.999866","2442782.052721"
"7","Cryptolepis oblongifolia","98","22.540816","3.747159","0.37852","0.084009","Cryptolepis oblongifolia","98","1231.377551","545.965097","55.150803","2913.162412","Cryptolepis oblongifolia","98","1858.44898","371.764229","37.553858","606.062193","Cryptolepis oblongifolia","98","6819.846939","3629.458289","366.630653","149558.08486"
"8","Pachycarpus appendiculatus","7","18.671429","1.913735","0.723324","1.176121","Pachycarpus appendiculatus","7","816.571429","119.253032","45.073409","40784.273762","Pachycarpus appendiculatus","7","1623.571429","82.838914","31.310166","8484.8707","Pachycarpus appendiculatus","7","5301.142857","949.215892","358.769884","2093813.188047"
"9","Mondia whitei","59","23.328814","3.191965","0.415558","0.13954","Mondia whitei","59","1404.220339","463.447132","60.335677","4838.812141","Mondia whitei","59","1578.949153","189.229875","24.635631","1006.679575","Mondia whitei","59","8742.271186","2941.935446","383.007372","248418.513836"
"10","Pachycarpus concolor","5","21.06","1.709678","0.764591","1.64657","Pachycarpus concolor","5","1002.2","93.939874","42.011189","57097.983267","Pachycarpus concolor","5","1592.8","35.478162","15.866316","11878.818979","Pachycarpus concolor","5","5804.6","948.960642","424.388101","2931338.463265"
"11","Tabernaemontana elegans","33","23.366667","2.090704","0.363945","0.24948","Tabernaemontana elegans","33","972.030303","298.843969","52.022058","8651.209586","Tabernaemontana elegans","33","1735.909091","117.255427","20.41155","1799.821057","Tabernaemontana elegans","33","5506.424242","1702.511748","296.369254","444142.191404"
"12","Tabernaemontana ventricosa","34","20.973529","2.201557","0.377564","0.242143","Tabernaemontana ventricosa","34","1599.705882","834.326894","143.085882","8396.762245","Tabernaemontana ventricosa","34","1557.411765","187.204979","32.105389","1746.885144","Tabernaemontana ventricosa","34","9298.705882","4664.804166","800.007314","431079.185774"
"13","Voacanga africana","82","24.358537","1.957256","0.216143","0.100401","Voacanga africana","82","1730.963415","542.99918","59.964228","3481.584346","Voacanga africana","81","1496.283951","283.958766","31.550974","733.260431","Voacanga africana","81","12161.777778","4621.631192","513.514577","180946.81872"
